Token:                          ST position:                    
number                          -1                              
id                              0                               
input                           -1                              
(                               -1                              
id                              0                               
)                               -1                              
number                          -1                              
id                              1                               
=                               -1                              
const                           9                               
if                              -1                              
(                               -1                              
id                              0                               
<                               -1                              
const                           0                               
)                               -1                              
{                               -1                              
id                              1                               
=                               -1                              
const                           8                               
}                               -1                              
;                               -1                              
if                              -1                              
(                               -1                              
id                              0                               
=                               -1                              
=                               -1                              
const                           0                               
)                               -1                              
{                               -1                              
id                              1                               
=                               -1                              
const                           9                               
}                               -1                              
;                               -1                              
if                              -1                              
(                               -1                              
id                              0                               
%                               -1                              
const                           0                               
=                               -1                              
=                               -1                              
const                           8                               
)                               -1                              
{                               -1                              
id                              1                               
=                               -1                              
const                           8                               
}                               -1                              
;                               -1                              
number                          -1                              
id                              5                               
for                             -1                              
(                               -1                              
id                              5                               
=                               -1                              
const                           0                               
,                               -1                              
id                              5                               
<                               -1                              
id                              0                               
//                              -1                              
const                           0                               
,                               -1                              
id                              5                               
=                               -1                              
id                              5                               
+                               -1                              
const                           9                               
)                               -1                              
:                               -1                              
if                              -1                              
(                               -1                              
id                              0                               
%                               -1                              
id                              5                               
=                               -1                              
=                               -1                              
const                           8                               
)                               -1                              
{                               -1                              
id                              1                               
=                               -1                              
const                           8                               
}                               -1                              
;                               -1                              
if                              -1                              
(                               -1                              
id                              1                               
==                              -1                              
const                           9                               
)                               -1                              
{                               -1                              
print                           -1                              
(                               -1                              
const                           7                               
)                               -1                              
}                               -1                              
;                               -1                              
else                            -1                              
{                               -1                              
print                           -1                              
(                               -1                              
number                          -1                              
id                              2                               
id                              7                               
)                               -1                              
}                               -1                              
;                               -1                              
